month_year,district_lgd_code,pincode,demo_age_5_17,demo_age_17_,district_label,state
Sep-25,490,411047,30,245,Pune,Maharashtra
Sep-25,490,411048,138,886,Pune,Maharashtra
Sep-25,490,411051,11,189,Pune,Maharashtra
Sep-25,490,411052,15,200,Pune,Maharashtra
Sep-25,490,411057,65,696,Pune,Maharashtra
Sep-25,490,411058,41,272,Pune,Maharashtra
Sep-25,490,411060,35,328,Pune,Maharashtra
Sep-25,490,411061,20,176,Pune,Maharashtra
Sep-25,490,411062,123,709,Pune,Maharashtra
Sep-25,490,411067,0,4,Pune,Maharashtra
Sep-25,490,411068,3,51,Pune,Maharashtra
Sep-25,490,411069,0,2,Pune,Maharashtra
Sep-25,490,411070,1,6,Pune,Maharashtra
Sep-25,490,411071,0,5,Pune,Maharashtra
Sep-25,490,411073,2,4,Pune,Maharashtra
Sep-25,490,412101,90,646,Pune,Maharashtra
Sep-25,490,412102,8,93,Pune,Maharashtra
Sep-25,490,412103,3,56,Pune,Maharashtra
Sep-25,490,412104,3,22,Pune,Maharashtra
Sep-25,490,412105,116,1021,Pune,Maharashtra
Sep-25,490,412106,36,167,Pune,Maharashtra
Sep-25,490,412107,8,30,Pune,Maharashtra
Sep-25,490,412108,7,118,Pune,Maharashtra
Sep-25,490,412109,27,167,Pune,Maharashtra
Sep-25,490,412110,11,93,Pune,Maharashtra
Sep-25,490,412112,1,4,Pune,Maharashtra
Sep-25,490,412114,33,200,Pune,Maharashtra
Sep-25,490,412115,16,242,Pune,Maharashtra
Sep-25,490,412201,14,149,Pune,Maharashtra
Sep-25,490,412202,27,189,Pune,Maharashtra
Sep-25,490,412203,13,161,Pune,Maharashtra
Sep-25,490,412204,8,58,Pune,Maharashtra
Sep-25,490,412205,22,210,Pune,Maharashtra
Sep-25,490,412206,15,189,Pune,Maharashtra
Sep-25,490,412207,90,668,Pune,Maharashtra
Sep-25,490,412208,40,260,Pune,Maharashtra
Sep-25,490,412209,31,128,Pune,Maharashtra
Sep-25,490,412210,41,366,Pune,Maharashtra
Sep-25,490,412211,19,150,Pune,Maharashtra
Sep-25,490,412212,8,58,Pune,Maharashtra
Sep-25,490,412213,17,160,Pune,Maharashtra
Sep-25,490,412214,16,188,Pune,Maharashtra
Sep-25,490,412215,4,46,Pune,Maharashtra
Sep-25,490,412216,21,259,Pune,Maharashtra
Sep-25,490,412218,26,163,Pune,Maharashtra
Sep-25,490,412219,5,117,Pune,Maharashtra
Sep-25,490,412220,3,53,Pune,Maharashtra
Sep-25,490,412301,16,104,Pune,Maharashtra
Sep-25,490,412303,7,71,Pune,Maharashtra
Sep-25,490,412304,3,56,Pune,Maharashtra
Sep-25,490,412305,9,39,Pune,Maharashtra
Sep-25,490,412306,6,82,Pune,Maharashtra
Sep-25,490,412307,36,288,Pune,Maharashtra
Sep-25,490,412308,44,415,Pune,Maharashtra
Sep-25,490,412311,3,26,Pune,Maharashtra
Sep-25,490,412312,1,18,Pune,Maharashtra
Sep-25,490,412401,3,44,Pune,Maharashtra
Sep-25,490,412402,14,67,Pune,Maharashtra
Sep-25,490,412403,11,71,Pune,Maharashtra
Sep-25,490,412404,18,131,Pune,Maharashtra
Sep-25,490,412405,7,29,Pune,Maharashtra
Sep-25,490,412406,13,99,Pune,Maharashtra
Sep-25,490,412408,12,88,Pune,Maharashtra
Sep-25,490,412409,29,158,Pune,Maharashtra
Sep-25,490,412410,16,120,Pune,Maharashtra
Sep-25,490,412411,13,126,Pune,Maharashtra
Sep-25,490,412412,7,95,Pune,Maharashtra
Sep-25,490,413102,116,644,Pune,Maharashtra
Sep-25,490,413103,21,188,Pune,Maharashtra
Sep-25,490,413104,24,224,Pune,Maharashtra
Sep-25,490,413105,9,95,Pune,Maharashtra
Sep-25,490,413106,27,228,Pune,Maharashtra
Sep-25,490,413110,23,158,Pune,Maharashtra
Sep-25,490,413114,25,219,Pune,Maharashtra
Sep-25,490,413115,14,42,Pune,Maharashtra
Sep-25,490,413116,5,35,Pune,Maharashtra
Sep-25,490,413120,9,101,Pune,Maharashtra
Sep-25,490,413130,32,234,Pune,Maharashtra
Sep-25,490,413132,5,94,Pune,Maharashtra
Sep-25,490,413133,8,68,Pune,Maharashtra
Sep-25,490,413211,13,225,Pune,Maharashtra
Sep-25,490,413801,24,270,Pune,Maharashtra
Sep-25,490,413802,4,16,Pune,Maharashtra
Sep-25,491,400702,32,253,Raigad,Maharashtra
Sep-25,491,400704,3,12,Raigad,Maharashtra
Sep-25,491,400707,6,41,Raigad,Maharashtra
Sep-25,491,402101,4,34,Raigad,Maharashtra
Sep-25,491,402102,0,28,Raigad,Maharashtra
Sep-25,491,402103,20,124,Raigad,Maharashtra
Sep-25,491,402104,18,203,Raigad,Maharashtra
Sep-25,491,402105,16,195,Raigad,Maharashtra
Sep-25,491,402106,9,181,Raigad,Maharashtra
Sep-25,491,402107,48,576,Raigad,Maharashtra
Sep-25,491,402108,14,115,Raigad,Maharashtra
Sep-25,491,402109,9,163,Raigad,Maharashtra
Sep-25,491,402110,4,75,Raigad,Maharashtra
Sep-25,491,402111,3,65,Raigad,Maharashtra
Sep-25,491,402112,5,51,Raigad,Maharashtra
Sep-25,491,402113,1,22,Raigad,Maharashtra
Sep-25,491,402114,1,14,Raigad,Maharashtra
Sep-25,491,402115,11,65,Raigad,Maharashtra
Sep-25,491,402116,5,45,Raigad,Maharashtra
Sep-25,491,402117,8,61,Raigad,Maharashtra
Sep-25,491,402120,16,87,Raigad,Maharashtra
Sep-25,491,402122,2,38,Raigad,Maharashtra
Sep-25,491,402125,0,2,Raigad,Maharashtra
Sep-25,491,402126,1,15,Raigad,Maharashtra
Sep-25,491,402201,12,163,Raigad,Maharashtra
Sep-25,491,402202,4,60,Raigad,Maharashtra
Sep-25,491,402203,5,59,Raigad,Maharashtra
Sep-25,491,402204,1,7,Raigad,Maharashtra
Sep-25,491,402207,3,32,Raigad,Maharashtra
Sep-25,491,402208,0,2,Raigad,Maharashtra
Sep-25,491,402209,7,98,Raigad,Maharashtra
Sep-25,491,402301,14,247,Raigad,Maharashtra
Sep-25,491,402302,7,62,Raigad,Maharashtra
Sep-25,491,402303,6,124,Raigad,Maharashtra
Sep-25,491,402304,1,89,Raigad,Maharashtra
Sep-25,491,402305,1,50,Raigad,Maharashtra
Sep-25,491,402306,1,24,Raigad,Maharashtra
Sep-25,491,402307,2,17,Raigad,Maharashtra
Sep-25,491,402308,1,45,Raigad,Maharashtra
Sep-25,491,402309,1,58,Raigad,Maharashtra
Sep-25,491,402401,8,125,Raigad,Maharashtra
Sep-25,491,402402,2,46,Raigad,Maharashtra
Sep-25,491,402403,0,78,Raigad,Maharashtra
Sep-25,491,402404,1,30,Raigad,Maharashtra
Sep-25,491,410101,21,244,Raigad,Maharashtra
Sep-25,491,410102,0,15,Raigad,Maharashtra
Sep-25,491,410201,37,512,Raigad,Maharashtra
Sep-25,491,410202,3,57,Raigad,Maharashtra
Sep-25,491,410203,16,261,Raigad,Maharashtra
Sep-25,491,410204,1,28,Raigad,Maharashtra
Sep-25,491,410205,19,505,Raigad,Maharashtra
Sep-25,491,410206,354,2546,Raigad,Maharashtra
Sep-25,491,410207,4,67,Raigad,Maharashtra
Sep-25,491,410208,84,577,Raigad,Maharashtra
Sep-25,491,410209,18,229,Raigad,Maharashtra
Sep-25,491,410210,106,552,Raigad,Maharashtra
Sep-25,491,410216,2,13,Raigad,Maharashtra
Sep-25,491,410218,102,474,Raigad,Maharashtra
Sep-25,491,410220,4,24,Raigad,Maharashtra
Sep-25,491,410221,24,227,Raigad,Maharashtra
Sep-25,491,410222,1,69,Raigad,Maharashtra
Sep-25,491,415213,1,23,Raigad,Maharashtra
Sep-25,492,415202,4,29,Ratnagiri,Maharashtra
Sep-25,492,415203,10,168,Ratnagiri,Maharashtra
Sep-25,492,415208,8,57,Ratnagiri,Maharashtra
Sep-25,492,415214,2,36,Ratnagiri,Maharashtra
Sep-25,492,415601,0,9,Ratnagiri,Maharashtra
Sep-25,492,415602,0,11,Ratnagiri,Maharashtra
Sep-25,492,415603,1,21,Ratnagiri,Maharashtra
Sep-25,492,415604,7,79,Ratnagiri,Maharashtra
Sep-25,492,415605,27,270,Ratnagiri,Maharashtra
Sep-25,492,415606,8,56,Ratnagiri,Maharashtra
Sep-25,492,415607,0,19,Ratnagiri,Maharashtra
Sep-25,492,415608,8,70,Ratnagiri,Maharashtra
Sep-25,492,415609,1,19,Ratnagiri,Maharashtra
Sep-25,492,415610,0,56,Ratnagiri,Maharashtra
Sep-25,492,415611,6,71,Ratnagiri,Maharashtra
Sep-25,492,415612,32,376,Ratnagiri,Maharashtra
Sep-25,492,415613,4,57,Ratnagiri,Maharashtra
Sep-25,492,415614,5,8,Ratnagiri,Maharashtra
Sep-25,492,415615,4,18,Ratnagiri,Maharashtra
Sep-25,492,415616,5,72,Ratnagiri,Maharashtra
Sep-25,492,415617,0,15,Ratnagiri,Maharashtra
Sep-25,492,415619,0,51,Ratnagiri,Maharashtra
Sep-25,492,415620,7,119,Ratnagiri,Maharashtra
Sep-25,492,415621,7,50,Ratnagiri,Maharashtra
Sep-25,492,415626,0,20,Ratnagiri,Maharashtra
Sep-25,492,415628,8,61,Ratnagiri,Maharashtra
Sep-25,492,415629,6,30,Ratnagiri,Maharashtra
Sep-25,492,415637,1,23,Ratnagiri,Maharashtra
